date,diesel,e5,e10
2017-12-31,1.226,1.401,1.381
2017-12-30,1.221,1.391,1.371
2017-12-29,1.209,1.39,1.37
2017-12-28,1.216,1.397,1.377
2017-12-27,1.203,1.392,1.372
2017-12-26,1.203,1.392,1.373
2017-12-25,1.207,1.399,1.379
2017-12-24,1.211,1.399,1.379
2017-12-23,1.193,1.38,1.36
2017-12-22,1.199,1.39,1.37
2017-12-21,1.198,1.381,1.361
2017-12-20,1.199,1.384,1.364
2017-12-19,1.191,1.375,1.355
2017-12-18,1.208,1.391,1.372
2017-12-17,1.195,1.381,1.361
2017-12-16,1.196,1.382,1.363
2017-12-15,1.202,1.389,1.369
2017-12-14,1.205,1.394,1.374
2017-12-13,1.211,1.401,1.381
2017-12-12,1.203,1.391,1.371
2017-12-11,1.204,1.388,1.368
2017-12-10,1.189,1.376,1.357
2017-12-09,1.19,1.382,1.362
2017-12-08,1.189,1.384,1.364
2017-12-07,1.196,1.39,1.37
2017-12-06,1.195,1.39,1.37
2017-12-05,1.199,1.393,1.373
2017-12-04,1.199,1.389,1.369
2017-12-03,1.211,1.388,1.368
2017-12-02,1.206,1.387,1.367
2017-12-01,1.207,1.396,1.376
2017-11-30,1.182,1.377,1.357
2017-11-29,1.202,1.392,1.372
2017-11-28,1.202,1.392,1.372
2017-11-27,1.202,1.392,1.372
2017-11-26,1.201,1.388,1.368
2017-11-25,1.201,1.394,1.375
2017-11-24,1.203,1.393,1.373
2017-11-23,1.202,1.395,1.376
2017-11-22,1.204,1.394,1.374
2017-11-21,1.205,1.397,1.377
2017-11-20,1.203,1.395,1.375
2017-11-19,1.221,1.409,1.389
2017-11-18,1.198,1.394,1.374
2017-11-17,1.187,1.389,1.37
2017-11-16,1.209,1.406,1.386
2017-11-15,1.211,1.417,1.397
2017-11-14,1.205,1.414,1.394
2017-11-13,1.182,1.394,1.374
2017-11-12,1.189,1.399,1.379
2017-11-11,1.194,1.405,1.385
2017-11-10,1.2,1.412,1.392
2017-11-09,1.196,1.408,1.388
2017-11-08,1.193,1.403,1.383
2017-11-07,1.2,1.41,1.39
2017-11-06,1.2,1.409,1.389
2017-11-05,1.192,1.397,1.377
2017-11-04,1.186,1.389,1.369
2017-11-03,1.193,1.389,1.369
2017-11-02,1.191,1.382,1.362
2017-11-01,1.187,1.379,1.359
2017-10-31,1.186,1.376,1.356
2017-10-30,1.184,1.374,1.354
2017-10-29,1.177,1.37,1.35
2017-10-28,1.178,1.371,1.351
2017-10-27,1.183,1.368,1.348
2017-10-26,1.177,1.358,1.338
2017-10-25,1.18,1.362,1.342
2017-10-24,1.166,1.355,1.335
2017-10-23,1.182,1.366,1.346
2017-10-22,1.179,1.366,1.346
2017-10-21,1.173,1.358,1.338
2017-10-20,1.176,1.353,1.334
2017-10-19,1.183,1.362,1.342
2017-10-18,1.184,1.368,1.348
2017-10-17,1.176,1.36,1.34
2017-10-16,1.174,1.362,1.342
2017-10-15,1.173,1.369,1.349
2017-10-14,1.169,1.363,1.343
2017-10-13,1.174,1.363,1.343
2017-10-12,1.173,1.363,1.343
2017-10-11,1.171,1.363,1.343
2017-10-10,1.179,1.36,1.34
2017-10-09,1.182,1.364,1.345
2017-10-08,1.189,1.377,1.357
2017-10-07,1.183,1.372,1.352
2017-10-06,1.181,1.362,1.342
2017-10-05,1.187,1.364,1.345
2017-10-04,1.173,1.369,1.349
2017-10-03,1.183,1.376,1.356
2017-10-02,1.179,1.375,1.355
2017-10-01,1.188,1.385,1.365
2017-09-30,1.181,1.377,1.357
2017-09-29,1.183,1.381,1.361
2017-09-28,1.178,1.376,1.356
2017-09-27,1.172,1.371,1.351
2017-09-26,1.177,1.38,1.36
2017-09-25,1.182,1.389,1.369
2017-09-24,1.168,1.383,1.363
2017-09-23,1.167,1.378,1.359
2017-09-22,1.161,1.38,1.36
2017-09-21,1.17,1.387,1.367
2017-09-20,1.162,1.385,1.365
2017-09-19,1.161,1.38,1.36
2017-09-18,1.172,1.385,1.365
2017-09-17,1.172,1.399,1.379
2017-09-16,1.162,1.391,1.371
2017-09-15,1.16,1.39,1.37
2017-09-14,1.156,1.387,1.367
2017-09-13,1.161,1.39,1.37
2017-09-12,1.166,1.395,1.375
2017-09-11,1.162,1.395,1.375
2017-09-10,1.167,1.405,1.385
2017-09-09,1.139,1.387,1.367
2017-09-08,1.153,1.4,1.38
2017-09-07,1.151,1.399,1.379
2017-09-06,1.145,1.391,1.371
2017-09-05,1.147,1.401,1.381
2017-09-04,1.158,1.399,1.379
2017-09-03,1.164,1.409,1.389
2017-09-02,1.136,1.383,1.363
2017-09-01,1.137,1.384,1.364
2017-08-31,1.131,1.366,1.346
2017-08-30,1.135,1.369,1.349
2017-08-29,1.128,1.365,1.345
2017-08-28,1.137,1.377,1.357
2017-08-27,1.147,1.378,1.358
2017-08-26,1.137,1.37,1.35
2017-08-25,1.131,1.363,1.343
2017-08-24,1.128,1.352,1.332
2017-08-23,1.129,1.356,1.336
2017-08-22,1.137,1.359,1.339
2017-08-21,1.12,1.341,1.322
2017-08-20,1.131,1.352,1.332
2017-08-19,1.129,1.349,1.329
2017-08-18,1.129,1.354,1.334
2017-08-17,1.138,1.362,1.342
2017-08-16,1.135,1.358,1.338
2017-08-15,1.13,1.349,1.329
2017-08-14,1.145,1.354,1.334
2017-08-13,1.135,1.347,1.327
2017-08-12,1.136,1.357,1.337
2017-08-11,1.138,1.358,1.338
2017-08-10,1.139,1.358,1.338
2017-08-09,1.138,1.356,1.336
2017-08-08,1.123,1.343,1.323
2017-08-07,1.131,1.351,1.331
2017-08-06,1.143,1.36,1.34
2017-08-05,1.129,1.342,1.323
2017-08-04,1.14,1.348,1.328
2017-08-03,1.142,1.357,1.337
2017-08-02,1.139,1.355,1.335
2017-08-01,1.138,1.355,1.335
2017-07-31,1.136,1.344,1.325
2017-07-30,1.127,1.337,1.317
2017-07-29,1.128,1.343,1.323
2017-07-28,1.13,1.347,1.327
2017-07-27,1.126,1.342,1.322
2017-07-26,1.124,1.341,1.321
2017-07-25,1.117,1.333,1.313
2017-07-24,1.12,1.336,1.316
2017-07-23,1.119,1.339,1.319
2017-07-22,1.122,1.341,1.321
2017-07-21,1.121,1.341,1.321
2017-07-20,1.123,1.343,1.323
2017-07-19,1.121,1.346,1.326
2017-07-18,1.113,1.341,1.321
2017-07-17,1.125,1.352,1.332
2017-07-16,1.113,1.343,1.323
2017-07-15,1.106,1.332,1.312
2017-07-14,1.109,1.333,1.313
2017-07-13,1.11,1.338,1.318
2017-07-12,1.123,1.342,1.322
2017-07-11,1.101,1.322,1.302
2017-07-10,1.113,1.33,1.31
2017-07-09,1.118,1.332,1.312
2017-07-08,1.112,1.331,1.311
2017-07-07,1.11,1.328,1.308
2017-07-06,1.112,1.339,1.319
2017-07-05,1.11,1.338,1.318
2017-07-04,1.105,1.333,1.314
2017-07-03,1.109,1.343,1.323
2017-07-02,1.106,1.345,1.325
2017-07-01,1.104,1.341,1.321
2017-06-30,1.11,1.345,1.325
2017-06-29,1.097,1.339,1.319
2017-06-28,1.108,1.346,1.327
2017-06-27,1.109,1.349,1.329
2017-06-26,1.111,1.356,1.336
2017-06-25,1.101,1.354,1.334
2017-06-24,1.09,1.342,1.322
2017-06-23,1.108,1.345,1.325
2017-06-22,1.101,1.344,1.324
2017-06-21,1.105,1.351,1.331
2017-06-20,1.114,1.36,1.34
2017-06-19,1.116,1.363,1.343
2017-06-18,1.105,1.355,1.335
2017-06-17,1.104,1.353,1.333
2017-06-16,1.107,1.358,1.338
2017-06-15,1.102,1.349,1.329
2017-06-14,1.106,1.352,1.332
2017-06-13,1.11,1.355,1.335
2017-06-12,1.107,1.353,1.333
2017-06-11,1.112,1.37,1.35
2017-06-10,1.111,1.364,1.344
2017-06-09,1.117,1.355,1.335
2017-06-08,1.118,1.37,1.35
2017-06-07,1.12,1.37,1.35
2017-06-06,1.132,1.374,1.354
2017-06-05,1.136,1.374,1.354
2017-06-04,1.138,1.378,1.358
2017-06-03,1.128,1.368,1.348
2017-06-02,1.139,1.373,1.353
2017-06-01,1.141,1.367,1.347
2017-05-31,1.148,1.376,1.356
2017-05-30,1.145,1.374,1.354
2017-05-29,1.153,1.375,1.355
2017-05-28,1.148,1.375,1.355
2017-05-27,1.151,1.38,1.361
2017-05-26,1.155,1.392,1.372
2017-05-25,1.157,1.392,1.372
2017-05-24,1.156,1.388,1.368
2017-05-23,1.15,1.376,1.356
2017-05-22,1.149,1.387,1.367
2017-05-21,1.129,1.368,1.348
2017-05-20,1.133,1.371,1.351
2017-05-19,1.139,1.374,1.354
2017-05-18,1.131,1.365,1.345
2017-05-17,1.136,1.372,1.353
2017-05-16,1.14,1.375,1.355
2017-05-15,1.14,1.372,1.352
2017-05-14,1.135,1.378,1.358
2017-05-13,1.127,1.367,1.347
2017-05-12,1.134,1.365,1.344
2017-05-11,1.136,1.364,1.344
2017-05-10,1.132,1.362,1.342
2017-05-09,1.132,1.362,1.342
2017-05-08,1.142,1.367,1.347
2017-05-07,1.131,1.366,1.346
2017-05-06,1.13,1.363,1.343
2017-05-05,1.136,1.363,1.343
2017-05-04,1.152,1.37,1.35
2017-05-03,1.155,1.377,1.357
2017-05-02,1.167,1.384,1.364
2017-05-01,1.167,1.395,1.375
2017-04-30,1.157,1.387,1.367
2017-04-29,1.161,1.394,1.374
2017-04-28,1.16,1.387,1.367
2017-04-27,1.165,1.392,1.372
2017-04-26,1.157,1.387,1.367
2017-04-25,1.173,1.4,1.38
2017-04-24,1.194,1.417,1.397
2017-04-23,1.183,1.407,1.387
2017-04-22,1.198,1.426,1.406
2017-04-21,1.182,1.409,1.389
2017-04-20,1.196,1.417,1.397
2017-04-19,1.201,1.418,1.398
2017-04-18,1.193,1.417,1.397
2017-04-17,1.204,1.425,1.405
2017-04-16,1.216,1.448,1.428
2017-04-15,1.198,1.416,1.396
2017-04-14,1.202,1.421,1.401
2017-04-13,1.224,1.436,1.416
2017-04-12,1.21,1.426,1.406
2017-04-11,1.187,1.417,1.396
2017-04-10,1.186,1.416,1.396
2017-04-09,1.189,1.422,1.402
2017-04-08,1.182,1.415,1.395
2017-04-07,1.177,1.408,1.388
2017-04-06,1.174,1.405,1.385
2017-04-05,1.171,1.401,1.381
2017-04-04,1.169,1.392,1.372
2017-04-03,1.171,1.396,1.376
2017-04-02,1.171,1.39,1.37
2017-04-01,1.178,1.406,1.386
2017-03-31,1.164,1.39,1.37
2017-03-30,1.159,1.38,1.36
2017-03-29,1.156,1.372,1.352
2017-03-28,1.157,1.368,1.348
2017-03-27,1.158,1.364,1.344
2017-03-26,1.172,1.378,1.358
2017-03-25,1.16,1.365,1.345
2017-03-24,1.158,1.359,1.339
2017-03-23,1.144,1.346,1.326
2017-03-22,1.144,1.35,1.33
2017-03-21,1.159,1.357,1.337
2017-03-20,1.172,1.366,1.346
2017-03-19,1.176,1.371,1.351
2017-03-18,1.181,1.374,1.354
2017-03-17,1.167,1.364,1.344
2017-03-16,1.17,1.366,1.346
2017-03-15,1.177,1.37,1.35
2017-03-14,1.171,1.373,1.353
2017-03-13,1.163,1.372,1.352
2017-03-12,1.174,1.387,1.367
2017-03-11,1.192,1.394,1.374
2017-03-10,1.167,1.373,1.353
2017-03-09,1.181,1.382,1.362
2017-03-08,1.191,1.388,1.368
2017-03-07,1.198,1.386,1.366
2017-03-06,1.214,1.405,1.385
2017-03-05,1.213,1.402,1.382
2017-03-04,1.201,1.403,1.383
2017-03-03,1.197,1.406,1.386
2017-03-02,1.203,1.411,1.391
2017-03-01,1.197,1.405,1.385
2017-02-28,1.203,1.415,1.395
2017-02-27,1.201,1.411,1.391
2017-02-26,1.198,1.416,1.396
2017-02-25,1.201,1.417,1.397
2017-02-24,1.198,1.413,1.393
2017-02-23,1.2,1.422,1.402
2017-02-22,1.197,1.419,1.399
2017-02-21,1.195,1.418,1.398
2017-02-20,1.207,1.43,1.41
2017-02-19,1.2,1.419,1.399
2017-02-18,1.19,1.41,1.39
2017-02-17,1.196,1.42,1.4
2017-02-16,1.193,1.415,1.395
2017-02-15,1.187,1.409,1.389
2017-02-14,1.196,1.412,1.392
2017-02-13,1.199,1.415,1.395
2017-02-12,1.194,1.414,1.394
2017-02-11,1.197,1.415,1.395
2017-02-10,1.193,1.41,1.39
2017-02-09,1.193,1.402,1.382
2017-02-08,1.197,1.409,1.389
2017-02-07,1.19,1.4,1.38
2017-02-06,1.191,1.404,1.384
2017-02-05,1.198,1.412,1.392
2017-02-04,1.204,1.416,1.396
2017-02-03,1.194,1.408,1.388
2017-02-02,1.194,1.408,1.388
2017-02-01,1.192,1.399,1.379
2017-01-31,1.194,1.405,1.385
2017-01-30,1.198,1.408,1.388
2017-01-29,1.189,1.396,1.376
2017-01-28,1.189,1.399,1.379
2017-01-27,1.185,1.396,1.376
2017-01-26,1.19,1.405,1.385
2017-01-25,1.186,1.398,1.378
2017-01-24,1.188,1.4,1.38
2017-01-23,1.198,1.407,1.387
2017-01-22,1.196,1.406,1.386
2017-01-21,1.197,1.406,1.386
2017-01-20,1.195,1.405,1.385
2017-01-19,1.195,1.399,1.379
2017-01-18,1.199,1.402,1.382
2017-01-17,1.206,1.409,1.389
2017-01-16,1.198,1.398,1.378
2017-01-15,1.199,1.4,1.38
2017-01-14,1.192,1.396,1.376
2017-01-13,1.189,1.393,1.373
2017-01-12,1.188,1.393,1.373
2017-01-11,1.192,1.392,1.372
2017-01-10,1.206,1.402,1.382
2017-01-09,1.21,1.405,1.385
2017-01-08,1.209,1.403,1.383
2017-01-07,1.213,1.409,1.389
2017-01-06,1.205,1.401,1.381
2017-01-05,1.208,1.406,1.386
2017-01-04,1.21,1.406,1.386
2017-01-03,1.203,1.395,1.375
2017-01-02,1.21,1.402,1.382
2017-01-01,1.235,1.426,1.406
